,City,Country,Humidity,Latitude,Longitude,Max Temp,Min Temp,Wind Speed,Clouds
338,sohag,RU,100.0,65.58,-170.99,-4.37,-4.37,9.74,92.0
339,valparaiso,TH,47.0,15.86,104.63,25.84,25.84,7.64,0.0
340,bentiu,RU,70.0,58.71,81.5,-16.92,-16.92,3.49,48.0
341,nouadhibou,IN,87.0,22.32,72.62,12.0,12.0,3.1,0.0
342,rawson,MX,94.0,18.68,-88.39,23.0,23.0,2.54,75.0
343,fairbanks,ID,64.0,-3.36,135.5,29.34,29.34,1.19,8.0
344,coracao de maria,RU,69.0,50.72,136.64,-16.92,-16.92,1.54,20.0
345,churapcha,PY,69.0,-26.98,-56.83,29.24,29.24,2.14,20.0
346,taksimo,BR,91.0,-12.74,-60.15,23.06,23.06,0.19,68.0
347,ayan,MN,76.0,47.92,106.92,-21.0,-21.0,1.0,0.0
